Query,Class Code,Ranking (position),Relevance
composite,SE 255,2,1
composite,SE 251B,3,1
composite,SE 253B,4,1
composite,MATS 261B,5,1
computer science electives,NO RESULTS,1,0
computer science electives,NO RESULTS,2,0
computer science electives,NO RESULTS,3,0
computer science electives,NO RESULTS,4,0
computer science electives,NO RESULTS,5,0
computer vision ,CSE 252D,1,1
computer vision ,CSE 252A,2,1
computer vision ,CSE 252B,3,1
computer vision ,CSE 152B,4,1
computer vision ,CSE 152A,5,1
computing,EDS 114,1,1
computing,VIS 142,2,1
computing,COGS 3,3,1
computing,COGS 8,4,1
computing,COGS 123,5,1
conservation,ECON 144,1,1
conservation,MBC 258,2,1
conservation,BIEB 176,3,1
conservation,MBC 259,4,1
conservation,ANBI 174,5,1
convolutional neural networks,NO RESULTS,1,0
convolutional neural networks,NO RESULTS,2,0
convolutional neural networks,NO RESULTS,3,0
convolutional neural networks,NO RESULTS,4,0
convolutional neural networks,NO RESULTS,5,0
cooking,NO RESULTS,1,0
cooking,NO RESULTS,2,0
cooking,NO RESULTS,3,0
cooking,NO RESULTS,4,0
cooking,NO RESULTS,5,0
covid 19,NO RESULTS,1,0
covid 19,NO RESULTS,2,0
covid 19,NO RESULTS,3,0
covid 19,NO RESULTS,4,0
covid 19,NO RESULTS,5,0
creative writing ,LTSP 166,1,1
creative writing ,NO RESULTS,2,0
creative writing ,NO RESULTS,3,0
creative writing ,NO RESULTS,4,0
creative writing ,NO RESULTS,5,0
creativity,DSGN 118,1,1
creativity,PSYC 176,2,1
creativity,MGT 422,3,1
creativity,MUS 214,4,1
creativity,MUS 254,5,1
credit cards,NO RESULTS,1,0
credit cards,NO RESULTS,2,0
credit cards,NO RESULTS,3,0
credit cards,NO RESULTS,4,0
credit cards,NO RESULTS,5,0
cryptography,CSE 209B,1,1
cryptography,CSE 207,2,1
cryptography,CSE 107,3,1
cryptography,MATH 187B,4,1
cryptography,MATH 187A,5,1
culture,ANSC 166,1,1
culture,COGR 278,2,1
culture,CAT 1,3,1
culture,EDS 278,4,1
culture,SOCI 120T,5,1
cystic fibrosis,NO RESULTS,1,0
cystic fibrosis,NO RESULTS,2,0
cystic fibrosis,NO RESULTS,3,0
cystic fibrosis,NO RESULTS,4,0
cystic fibrosis,NO RESULTS,5,0
dance,TDDM 5,1,1
dance,TDDM 100,2,1
dance,TDHD 21,3,1
dance,TDHD 175,4,1
dance,TDHD 176,5,1
data science capstone,DSC 298R,1,1
